Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2016,106713,00109300,Central Baptist College,AR,9,,2,NAIA,347,284,631,2,Basketball,26,11,,,26,11,1913,49728,2930,32233,81961,,,,,,301551,137329,438880,,,,301551,137329,438880,296115,132329,428444,,,,296115,132329,428444
2016,176910,02266400,Central Christian College of the Bible,MO,16,,4,NCCAA,110,91,201,2,Basketball,13,8,,,13,8,1722,22389,2666,21331,43720,,,,,,30770,29218,59988,,,,30770,29218,59988,30770,29218,59988,,,,30770,29218,59988
2016,483045,00576300,Central Georgia Technical College,GA,12,,3,NJCAA,847,1443,2290,2,Basketball,11,11,,,11,11,2390,26286,2127,23400,49686,,,,,,142200,139112,281312,,,,142200,139112,281312,142200,139112,281312,,,,142200,139112,281312
2016,176947,00245300,Central Methodist University-College of Liberal Arts and Sciences,MO,9,,2,NAIA,513,551,1064,2,Basketball,30,31,,,30,31,2990,89686,2592,80351,170037,,,,,,616217,626302,1242519,,,,616217,626302,1242519,626211,632778,1258989,,,,626211,632778,1258989
2016,156408,00196100,Centre College,KY,6,,1,NCAA,698,722,1420,2,Basketball,14,19,,,14,19,3898,54578,3016,57310,111888,,,,,,134845,122796,257641,,,,134845,122796,257641,134845,122796,257641,,,,134845,122796,257641
2016,217688,00341900,Charleston Southern University,SC,2,,1,NCAA,1086,1810,2896,2,Basketball,17,16,,,17,16,9368,159257,8526,136413,295670,,,,,,1347387,1011834,2359221,,,,1347387,1011834,2359221,1347387,1011834,2359221,,,,1347387,1011834,2359221
2016,101028,01218200,Chattahoochee Valley Community College,AL,12,,3,NJCAA,387,473,860,2,Basketball,17,16,,,17,16,2331,39628,2308,36920,76548,,,,,,276209,230096,506305,,,,276209,230096,506305,276209,230096,506305,,,,276209,230096,506305
2016,219824,00399800,Chattanooga State Community College,TN,12,,3,NJCAA,1755,2246,4001,2,Basketball,14,14,,,14,14,1992,27894,2464,34501,62395,,,,,,290774,224884,515658,,,,290774,224884,515658,290774,224884,515658,,,,290774,224884,515658
2016,133021,00147200,Chipola College,FL,12,,3,NJCAA,385,525,910,2,Basketball,11,13,,,11,13,4212,46336,5218,67828,114164,,,,,,390291,473543,863834,,,,390291,473543,863834,390291,473543,863834,,,,390291,473543,863834
2016,219833,00348200,Christian Brothers University,TN,5,,1,NCAA,645,686,1331,2,Basketball,14,13,,,14,13,4346,60844,2756,35827,96671,,,,,,456151,446270,902421,,,,456151,446270,902421,450856,438251,889107,,,,450856,438251,889107
2016,223898,00355300,Cisco College,TX,12,,3,NJCAA,549,762,1311,2,Basketball,,16,,,0,16,0,0,1812,28988,28988,,,,,,,151820,151820,,,,0,151820,151820,,151820,151820,,,,0,151820,151820
2016,217864,00342300,Citadel Military College of South Carolina,SC,2,,1,NCAA,2308,195,2503,2,Basketball,15,,,,15,0,21690,325350,0,0,325350,,,,,,1684099,,1684099,,,,1684099,0,1684099,1490057,,1490057,,,,1490057,0,1490057
2016,217873,00342400,Claflin University,SC,5,,1,NCAA,648,1225,1873,2,Basketball,23,14,,,23,14,3768,86665,6706,93883,180548,,,,,,426317,361375,787692,,,,426317,361375,787692,426317,361375,787692,,,,426317,361375,787692
2016,223922,00355400,Clarendon College,TX,12,,3,NJCAA,230,277,507,2,Basketball,26,20,,,26,20,1311,34093,1713,34255,68348,,,,,,114366,113448,227814,,,,114366,113448,227814,114366,113448,227814,,,,114366,113448,227814
2016,138947,00155900,Clark Atlanta University,GA,4,,1,NCAA,862,2124,2986,2,Basketball,13,12,,,13,12,2499,32490,2559,30703,63193,,,,,,488885,402932,891817,,,,488885,402932,891817,490190,330519,820709,,,,490190,330519,820709
2016,139311,00897600,Clayton  State University,GA,5,,1,NCAA,1073,2383,3456,2,Basketball,16,14,,,16,14,2615,41839,3092,43294,85133,,,,,,427505,423525,851030,,,,427505,423525,851030,446001,436688,882689,,,,446001,436688,882689
2016,217882,00342500,Clemson University,SC,1,,1,NCAA,9292,8557,17849,2,Basketball,15,14,,,15,14,65609,984131,46210,646935,1631066,,,,,,11103355,1408594,12511949,,,,11103355,1408594,12511949,6329356,3848701,10178057,,,,6329356,3848701,10178057
2016,219879,00399900,Cleveland State Community College,TN,12,,3,NJCAA,771,933,1704,2,Basketball,16,15,,,16,15,2010,32165,2074,31110,63275,,,,,,117546,113293,230839,,,,117546,113293,230839,116401,111699,228100,,,,116401,111699,228100
2016,217891,00492300,Clinton College,SC,12,,3,NJCAA,124,76,200,2,Basketball,14,7,,,14,7,1951,27307,2601,18205,45512,,,,,,192025,192016,384041,,,,192025,192016,384041,192025,192016,384041,,,,192025,192016,384041
2016,175519,00240100,Coahoma Community College,MS,12,,3,NJCAA,652,917,1569,2,Basketball,13,13,,,13,13,2763,35917,2749,35741,71658,,,,,,215578,199500,415078,,,,215578,199500,415078,215578,199500,415078,,,,215578,199500,415078
2016,223320,00354600,Coastal Bend College,TX,12,,3,NJCAA,513,707,1220,2,Basketball,13,16,,,13,16,3280,42642,2909,46537,89179,,,,,,106785,103860,210645,,,,106785,103860,210645,104792,110700,215492,,,,104792,110700,215492
